name,type,size,parent_directory
installation_report.cpython-312.pyc,file,2155,C:\Python\678\venv\Lib\site-packages\pip\_internal\models\__pycache__
link.cpython-312.pyc,file,26005,C:\Python\678\venv\Lib\site-packages\pip\_internal\models\__pycache__
scheme.cpython-312.pyc,file,1142,C:\Python\678\venv\Lib\site-packages\pip\_internal\models\__pycache__
search_scope.cpython-312.pyc,file,5061,C:\Python\678\venv\Lib\site-packages\pip\_internal\models\__pycache__
selection_prefs.cpython-312.pyc,file,1824,C:\Python\678\venv\Lib\site-packages\pip\_internal\models\__pycache__
target_python.cpython-312.pyc,file,4413,C:\Python\678\venv\Lib\site-packages\pip\_internal\models\__pycache__
wheel.cpython-312.pyc,file,5753,C:\Python\678\venv\Lib\site-packages\pip\_internal\models\__pycache__
__init__.cpython-312.pyc,file,239,C:\Python\678\venv\Lib\site-packages\pip\_internal\models\__pycache__
network,directory,131279,C:\Python\678\venv\Lib\site-packages\pip\_internal
auth.py,file,20541,C:\Python\678\venv\Lib\site-packages\pip\_internal\network
cache.py,file,2145,C:\Python\678\venv\Lib\site-packages\pip\_internal\network
download.py,file,6096,C:\Python\678\venv\Lib\site-packages\pip\_internal\network
lazy_wheel.py,file,7638,C:\Python\678\venv\Lib\site-packages\pip\_internal\network
session.py,file,18607,C:\Python\678\venv\Lib\site-packages\pip\_internal\network
utils.py,file,4073,C:\Python\678\venv\Lib\site-packages\pip\_internal\network
xmlrpc.py,file,1791,C:\Python\678\venv\Lib\site-packages\pip\_internal\network
__init__.py,file,50,C:\Python\678\venv\Lib\site-packages\pip\_internal\network
__pycache__,directory,70338,C:\Python\678\venv\Lib\site-packages\pip\_internal\network
auth.cpython-312.pyc,file,21961,C:\Python\678\venv\Lib\site-packages\pip\_internal\network\__pycache__
cache.cpython-312.pyc,file,4127,C:\Python\678\venv\Lib\site-packages\pip\_internal\network\__pycache__
download.cpython-312.pyc,file,8549,C:\Python\678\venv\Lib\site-packages\pip\_internal\network\__pycache__
lazy_wheel.cpython-312.pyc,file,11633,C:\Python\678\venv\Lib\site-packages\pip\_internal\network\__pycache__
session.cpython-312.pyc,file,18742,C:\Python\678\venv\Lib\site-packages\pip\_internal\network\__pycache__
utils.cpython-312.pyc,file,2226,C:\Python\678\venv\Lib\site-packages\pip\_internal\network\__pycache__
xmlrpc.cpython-312.pyc,file,2873,C:\Python\678\venv\Lib\site-packages\pip\_internal\network\__pycache__
__init__.cpython-312.pyc,file,227,C:\Python\678\venv\Lib\site-packages\pip\_internal\network\__pycache__
operations,directory,190293,C:\Python\678\venv\Lib\site-packages\pip\_internal
build,directory,36380,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations
build_tracker.py,file,4133,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\build
metadata.py,file,1422,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\build
metadata_editable.py,file,1474,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\build
metadata_legacy.py,file,2198,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\build
wheel.py,file,1075,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\build
wheel_editable.py,file,1417,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\build
wheel_legacy.py,file,3064,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\build
__init__.py,file,0,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\build
__pycache__,directory,21597,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\build
build_tracker.cpython-312.pyc,file,7092,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\build\__pycache__
metadata.cpython-312.pyc,file,1853,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\build\__pycache__
metadata_editable.cpython-312.pyc,file,1887,C:\Python\678\venv\Lib\site-packages\pip\_internal\operations\build\__pycache__
